"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"ALDEMIR LOPES DA SILVA","ALDEMIR LOPES",8,1
"ANTONIA LUCILEIA CRUZ RAMOS CAMARA","ANTONIA LÚCIA",8,1
"BLANDINA MARIA DA SILVA E SILVA","BLANDINA SILVA",8,1
"CLAUDIO GASTAO KIPPER","KIPPER",8,1
"CELIO TEIXEIRA DE SOUZA","CÉLIO TEIXEIRA",6,1
"DEODATO NUNES DE FRANCA","DEODATO",8,1
"EDILBERTO AFONSO DE MORAIS JUNIOR","JÚNIOR BETÃO",6,1
"FERNANDO MELO DA COSTA","FERNANDO MELO",8,1
"FLAVIANO FLAVIO BAPTISTA DE MELO","FLAVIANO MELO",8,1
"FRANCISCO HAMILTON D'AVILA LUCENA","HAMILTON LUCENA",6,1
"FRANCISCO ROBERTO RODRIGUES MARTINS","SARGENTO MARTINS",7,1
"GILDOMAR OLIVEIRA GOMES","CHARQUEIRO",6,1
"GLADSON DE LIMA CAMELI","GLADSON CAMELI",8,1
"ILDERLEI SOUZA RODRIGUES CORDEIRO","ILDERLEI CORDEIRO",7,1
"JESUS RODRIGUES DA SILVA","IRMÃO JESUS",6,1
"JONAS VELASQUES FELICIO","JONAS FELICIO",5,1
"JOSE IVANILSON NERI GUEDES","GUEDES",6,1
"JOSE RAIMUNDO BARROZO BESTENE","BESTENE",7,1
"JOSE AFONSO GEBER","PASTOR AFONSO GEBER",6,1
"JOSE BRAZ ALVES PEDROZA","BRAZ (DA MEGA DATA)",8,1
"JOSE MARQUES LEITE NETO","MIRABOR LEITE",6,1
"JOAO ANTONIO RODRIGUES BRONZEADO","ZICO BRONZEADO",7,1
"JOAO CORREIA LIMA SOBRINHO","JOÃO CORREIA",8,1
"JOAO TOTA SOARES DE FIGUEIREDO","JOÃO TOTA",8,1
"LUCILA BRUNETTA","LUCILA",8,1
"MARIA PERPETUA ALMEIDA","PERPÉTUA",6,1
"NARCISO MENDES DE ASSIS","NARCISO MENDES",8,1
"NAZARE FERNANDES DA SILVA","NAZARÉ FERNANDES",8,1
"NILSON MOURA LEITE MOURAO","NILSON MOURÃO",8,1
"NORMANDO RODRIGUES SALES","NORMANDO SALES",8,1
"ROBERTO BARROS JUNIOR","BEBETO JUNIOR",8,1
"SERGIO DE OLIVEIRA CUNHA","PETECÃO",6,1
"SONIA MARIA ALVES TAMBORINI","SÔNIA TAMBORINI",8,1
"WALDY ROCHA DE CARVALHO FILHO","VAVÁ",8,1
"ADALBERTO TEIXEIRA ROCHA JUNIOR","CICINHO DA CAIXA",7,1
"ALEX FERNANDES DOS SANTOS","ALEX FERNANDES",5,1
"ANTONIO CARLOS RAMOS","CHAMARIZ",4,1
"ANTONIO FERREIRA DE ANDRADE","ANTONIO FERREIRA",3,1
"AUGUSTO CESAR CAVALCANTE FARIAS","AUGUSTO FARIAS",8,1
"BENEDITO DE LIRA","BENEDITO DE LIRA",8,1
"CARLOS ANDRE CAVALCANTI FERREIRA","CARLOS ANDRÉ O POETA",7,1
"CARLOS AVELINO DA SILVA FILHO","CARLOS AVELINO",8,1
"CARLOS EDUARDO AFFONSO DE MELLO","KAKÁ",8,1
"CLIUTON SANTOS","CLIUTON SANTOS",6,1
"CREUVANSOSTENES MONTEIRO FERREIRA","ZORTE LINS",6,1
"CRISTIANO MATHEUS DA SILVA E SOUSA","CRISTIANO MATHEUS",8,1
"CICERO MENDONCA DE LIMA","CÍCERO MENDONÇA",4,1
"DELIO JOSE DE SOUZA ALMEIDA","DÉLIO ALMEIDA",8,1
"EDLENE FERREIRA LIMA","EDLENE FERREIRA",8,1
"FRANCISCO DE SOUZA IRMAO","CHICO DA CAPIAL",6,1
"GEORGE SAMUEL SANGUINETTI FELLOWS","SANGUINETTI",8,1
"GERONIMO CIQUEIRA DA SILVA","GERÔNIMO DA ADEFAL",6,1
"GIVALDO DE SA GOUVEIA CARIMBAO","GIVALDO CARIMBÃO",3,1
"HETH CESAR BISMARCK ATHAYDE BARBOSA DE OLIVEIRA","HETH CÉSAR",8,1
"ILDO RAFAEL","ILDO RAFAEL",8,1
"JOAQUIM BELTRAO SIQUEIRA","JAOQUIM BELTRÃO",8,1
"JOSE FRANCISCO DE LIMA","CHICO LIMA",3,1
"JOSE HELENILDO RIBEIRO MONTEIRO","HELENILDO RIBEIRO",8,1
"JOSE JOAQUIM BARROS VIEIRA SANDES","JOAQUIM SANDES",8,1
"JOSE JUNIOR DE MELO","JÚNIOR LEÃO",8,1
"JOSE MARINHO MUNIZ FALCAO","ZÉ MUNIZ",6,1
"JOSE REGIS BARROS CAVALCANTE","REGIS CAVALCANTE",8,1
"JOSE ROBERTO SILVA","BETTO SOM",6,1
"JOAO EUDES FERREIRA CAVALCANTE","JOÃO EUDES",6,1
"JURANDIR BOIA ROCHA","JURANDIR BOIA",8,1
"KATIA BORN RIBEIRO","KÁTIA BORN",8,1
"LUIZ EUSTAQUIO TOLEDO FILHO","LUIZ FILHO",7,1
"MARCELO ZACARIAS DE OLIVEIRA","MARCELO ZACARIAS SAPÃO",6,1
"MARCOS ANTONIO VIEIRA DA SILVA","MARCOS VIEIRA",8,1
"MICHELINE VILELA TOLEDO","MICHELINE VILELA TOLEDO",7,1
"OLAVO CALHEIROS FILHO","OLAVO",8,1
"ROGERIO AUTO TEOFILO","ROGÉRIO TEÓFILO",8,1
"RONALDO LUZ","DR. RONALDO LUZ",8,1
"SANDRA DO CARMO DE MENEZES","SANDRA MENEZES",8,1
"TARCISIO SAMPAIO FREIRE","TARCÍSIO FREIRE",8,1
"VALTER GOMES DA SILVA","MANO",6,1
"VENANCIO DOS ANJOS TELES","PALHAÇO PIRULITO",3,1
"ITALO SUARUAGY DO AMARAL","ÍTALO AMARAL",8,1
"ALMIR FILGUEIRAS FONSECA","DR. ALMIR",8,1
"ALTAIR VIEIRA RODRIGUES","ALTAIR VIEIRA",6,1
