"numLegislatura","ideCadastro","Nome Parlamentar","Nome","dataNascimento","sexo","partidoAtual","ufRepresentacaoAtual","nomeProfissao","email"
"54","73764","ABELARDO LUPION","ABELARDO LUIZ LUPION MELLO","25/08/1952","M","DEM","PR","Agropecuarista e Empresário","dep.abelardolupion@camara.gov.br"
"54","161907","ACELINO POPO","ACELINO FREITAS","21/09/1975","M","PRB","BA","

    ","dep.acelinopopo@camara.gov.br"
"54","133374","ADEMIR CAMILO","ADEMIR CAMILO PRATES RODRIGUES","30/05/1964","M","PROS","MG","Médico, Advogado","dep.ademircamilo@camara.gov.br"
"54","141371","DR. ADILSON SOARES","ADILSON SOARES","11/09/1940","M","PR","RJ","ADVOGADO","dep.dr.adilsonsoares@camara.gov.br"
"54","160577","ADRIAN","ADRIAN MUSSI RAMOS","11/03/1967","M","PMDB","RJ","

    ","dep.adrian@camara.gov.br"
"54","160532","ELI CORREA FILHO","ADRIANO ELI CORREA","13/01/1976","M","DEM","SP","Radialista","dep.elicorreafilho@camara.gov.br"
"54","141372","AELTON FREITAS","AELTON JOSE DE FREITAS","15/12/1961","M","PR","MG","PRODUTOR RURAL, EMPRESÁRIO, ENGENHEIRO AGRÔNOMO","dep.aeltonfreitas@camara.gov.br"
"54","160508","AFONSO FLORENCE","AFONSO BANDEIRA FLORENCE","15/10/1960","M","PT","BA","Professor de História, Servidor Público","dep.afonsoflorence@camara.gov.br"
"54","160527","AGUINALDO RIBEIRO","AGUINALDO VELLOSO BORGES RIBEIRO","13/02/1969","M","PP","PB","Administrador","dep.aguinaldoribeiro@camara.gov.br"
"54","173269","AKIRA OTSUBO","AKIRA OTSUBO","15/01/1938","M","PMDB","MS","

    ","dep.akiraotsubo@camara.gov.br"
"54","74696","ALBERTO MOURAO","ALBERTO PEREIRA MOURAO","26/04/1954","M","PSDB","SP","

    ","dep.albertomourao@camara.gov.br"
"54","160559","ALCEU MOREIRA","ALCEU MOREIRA DA SILVA","04/06/1954","M","PMDB","RS","Comerciante","dep.alceumoreira@camara.gov.br"
"54","160511","ALESSANDRO MOLON","ALESSANDRO LUCCIOLA MOLON","28/10/1971","M","PT","RJ","Advogado, Professor Universitário","dep.alessandromolon@camara.gov.br"
"54","73458","ALEX CANZIANI","ALEX CANZIANI SILVEIRA","11/06/1964","M","PTB","PR","Registrador de Imóveis","dep.alexcanziani@camara.gov.br"
"54","74829","ALEXANDRE CARDOSO","ALEXANDRE AGUIAR CARDOSO","03/05/1952","M","PSB","RJ","Médico","dep.alexandrecardoso@camara.gov.br"
